"PORT","YEAR","Species","piC","vpiC","piP","vpiP","HiC","SEHiC","HiP","SEHiP","Hi","SEHi","pi","SEpi"
"Kodiak",2002,"Copper",0.0158730158730159,0.000251952632905014,0,0,40.5873015873016,40.5873015873016,0,0,40.5873015873016,40.5873015873016,0.00537153276698009,0.00559654421375091
"Kodiak",2002,"DuskyDark",0.158730158730159,0.00215378863612351,0.32,0.00125057471264368,405.873015873016,185.234194621769,1599.68,431.019066554292,2005.55301587302,469.13659267905,0.265425227087482,0.0323850043702145
"Kodiak",2002,"Yelloweye",0.0317460317460317,0.000495777761522769,0.0628571428571429,0.000338540933614825,81.1746031746032,60.7541550235704,314.222857142857,118.232435113742,395.39746031746,132.928462210142,0.0523289386338619,0.0146437078451542
"Kodiak",2003,"Black",0.7890625,0.00131057378813976,0.735849056603774,0.000921209585303839,1399.796875,402.426286740523,3231.84905660377,559.443440598983,4631.64593160377,689.147211769005,0.751158925008721,0.0242659225121766
"Kodiak",2003,"Dark",0.046875,0.000351793184055118,0.117924528301887,0.000492977885908362,83.15625,39.697599600763,517.924528301887,129.748283152277,601.080778301887,135.685358071628,0.097483097356777,0.0173882622679918
"Kodiak",2003,"Dusky",0.0625,0.00046136811023622,0.113207547169811,0.000475789566036049,110.875,48.2391503345571,497.207547169811,126.162755715437,608.082547169811,135.070561391863,0.0986186420969529,0.0170692829626514
"Kodiak",2003,"Yelloweye",0.1015625,0.000718484713336614,0.0330188679245283,0.000151320484765454,180.171875,68.5476443141238,145.018867924528,58.5806115673777,325.190742924528,90.1691055330129,0.0527393355375492,0.0125602183112931
"Kodiak",2004,"Black",0.719387755102041,0.00103522570723737,0.782258064516129,0.00138479987817568,3049.48469387755,664.541201193403,2820.04032258064,611.094126566136,5869.5250164582,902.801772044783,0.748282128564278,0.0248368127268146
"Kodiak",2004,"China",0.00510204081632653,2.60308204914619e-05,0,0,21.6275510204082,21.6275510204082,0,0,21.6275510204082,21.6275510204082,0.00275720946206121,0.00278340142166995
"Kodiak",2004,"Dark",0.147959183673469,0.000646498787898205,0.0806451612903226,0.000602776579274638,627.198979591837,170.345372938707,290.725806451613,106.155548313812,917.92478604345,200.715087921744,0.117022537741388,0.018476661712953
"Kodiak",2004,"Dusky",0.0306122448979592,0.0001521801813347,0.0887096774193548,0.000657237971963487,129.765306122449,58.1155818889928,319.798387096774,112.872415888621,449.563693219223,126.955122491493,0.0573130664481417,0.0142155766553199
"Kodiak",2004,"DuskyDark",0,0,0.00806451612903226,6.50364203954214e-05,0,0,29.0725806451613,29.0725806451613,29.0725806451613,29.0725806451613,0.00370634633416131,0.00375494011626518
"Kodiak",2004,"Tiger",0.00510204081632653,2.60308204914619e-05,0,0,21.6275510204082,21.6275510204082,0,0,21.6275510204082,21.6275510204082,0.00275720946206121,0.00278340142166995
"Kodiak",2004,"Yelloweye",0.0918367346938776,0.000427706404382789,0.0403225806451613,0.000314607074270535,389.295918367347,119.34341685639,145.362903225806,69.6565977650737,534.658821593153,138.184271026638,0.0681615019879084,0.0143581195721763
"Kodiak",2005,"Black",0.704819277108434,0.00126090341651381,0.823863636363636,0.000829213400236128,4150.68072289157,1268.92639214608,7829.17613636364,1776.60548944185,11979.8568592552,2183.23183693345,0.77831710364184,0.0247495181062909
"Kodiak",2005,"China",0.00602409638554217,3.62897372623022e-05,0,0,35.4759036144578,35.4759036144578,0,0,35.4759036144578,35.4759036144578,0.00230482741777923,0.00236616387791218
"Kodiak",2005,"Dark",0.0180722891566265,0.000107549584977368,0.00568181818181818,3.22830578512397e-05,106.427710843373,66.5008183421828,53.9943181818182,53.9943181818182,160.422029025192,85.660639946824,0.0104224291206595,0.00540936732262308
"Kodiak",2005,"Dusky",0.036144578313253,0.000211140289526122,0.159090909090909,0.000764462809917355,212.855421686747,103.850549182656,1511.84090909091,424.977467681747,1724.69633077766,437.482324903223,0.112051476791688,0.0210153105323779
"Kodiak",2005,"DuskyDark",0,0,0.00568181818181818,3.22830578512397e-05,0,0,53.9943181818182,53.9943181818182,53.9943181818182,53.9943181818182,0.00350794686732187,0.00354408819840454
"Kodiak",2005,"Tiger",0.00602409638554217,3.62897372623022e-05,0,0,35.4759036144578,35.4759036144578,0,0,35.4759036144578,35.4759036144578,0.00230482741777923,0.00236616387791218
"Kodiak",2005,"Yelloweye",0.228915662650602,0.00106977746693235,0.00568181818181818,3.22830578512397e-05,1348.0843373494,446.516699504153,53.9943181818182,53.9943181818182,1402.07865553122,449.76944019353,0.0910913887429324,0.0237135119132436
"Kodiak",2006,"Black",0.679012345679012,0.00135375515586645,0.78448275862069,0.00147017008737011,4133.14814814815,991.128403395672,4393.88793103448,999.638622767082,8527.03607918263,1407.69772612778,0.729554763790437,0.0278745086679542
"Kodiak",2006,"Dark",0.0925925925925926,0.000521858412357607,0.129310344827586,0.000979036343897017,563.611111111111,188.844835371487,724.26724137931,234.847722955057,1287.87835249042,301.356640583312,0.110188086284259,0.0193679805268197
"Kodiak",2006,"Dusky",0.0246913580246914,0.000149575744494335,0.0344827586206897,0.000289510417205191,150.296296296296,80.4671997720826,193.137931034483,102.366281590568,343.434227330779,130.206857906332,0.0293834896758025,0.0103766238588825
"Kodiak",2006,"Quillback",0,0,0.00862068965517241,7.43162901307967e-05,0,0,48.2844827586207,48.2844827586207,48.2844827586207,48.2844827586207,0.00413111591021738,0.00418909420670674
"Kodiak",2006,"Tiger",0.00617283950617284,3.81039475689681e-05,0.00862068965517241,7.43162901307967e-05,37.5740740740741,37.5740740740741,48.2844827586207,48.2844827586207,85.8585568326948,61.1817155512294,0.00734587241895061,0.00523828906438924
"Kodiak",2006,"Yelloweye",0.197530864197531,0.000984549204266506,0.0344827586206897,0.000289510417205191,1202.37037037037,337.050898831929,193.137931034483,102.366281590568,1395.50830140485,352.252982968336,0.119396671920333,0.0224961925455605
"Kodiak",2007,"Black",0.739495798319328,0.00163255731006261,0.894117647058824,0.00112703905091448,5274.08403361345,919.821820460783,4845.22352941176,950.37524630481,10119.3075630252,1322.60549302682,0.806255084298081,0.0288141614423056
"Kodiak",2007,"Dark",0.0420168067226891,0.000341113514199299,0,0,299.663865546219,139.083333514438,0,0,299.663865546219,139.083333514438,0.0238756964023758,0.0108172532143265
"Kodiak",2007,"Dusky",0.00840336134453781,7.06164818868724e-05,0.0352941176470588,0.000405338606030648,59.9327731092437,59.9327731092437,191.258823529412,113.220617230653,251.191596638655,128.104822152228,0.0200136719495383,0.0100586476411001
"Kodiak",2007,"DuskyDark",0.201680672268908,0.0013644540567972,0.0588235294117647,0.000659087164277476,1438.38655462185,352.72984237909,318.764705882353,149.691370304751,1757.1512605042,383.178611157371,0.140000897179842,0.0253542377557628
"Kodiak",2007,"Rosethorn",0.00840336134453781,7.06164818868724e-05,0,0,59.9327731092437,59.9327731092437,0,0,59.9327731092437,59.9327731092437,0.00477513928047516,0.00480381851539902
"Kodiak",2007,"Yelloweye",0,0,0.0117647058823529,0.00013840830449827,0,0,63.7529411764706,63.7529411764706,63.7529411764706,63.7529411764706,0.00507951088968772,0.0051322389415464
"Kodiak",2008,"Black",0.737931034482759,0.0013429779363192,0.693333333333333,0.00287327327327327,7350.53103448276,1208.41681646034,3906.93333333333,917.303329699985,11257.4643678161,1517.14092983573,0.721817412658123,0.0305085297123065
