"","port","page","line","year","age","AgeErr","SEX","LENGTH","NETWT","RNDWT","AGE2","AGECONF","USER","BOATNAME","STATAREA","CAS","GAF","MONTH","DAY","SUB"
"129","CCI",6,12,2015,NA,"","M",65,5.17616515408831,6.8843520074242,NA,NA,"Charter","NSC 2",525931,NA,0,6,8,1
"130","CCI",6,13,2015,NA,"","F",105,24.4806067874466,32.5594546277194,NA,NA,"Private","P1",525931,NA,0,6,8,1
"131","CCI",6,14,2015,NA,"","F",98,19.5767833424166,26.0373198478463,NA,NA,"Private","P1",525931,NA,0,6,8,1
"132","CCI",6,15,2015,10,"","F",85,12.344859985371,16.4187886382518,NA,NA,"Private","P1",525931,NA,0,6,8,1
"133","CCI",6,16,2015,9,"","F",84,11.8804731210747,15.8011494118613,NA,NA,"Private","P1",525931,NA,0,6,8,1
"134","CCI",6,17,2015,8,"","F",94,17.1042129489918,22.7487762166551,NA,NA,"Private","P1",525931,NA,0,6,8,1
"135","CCI",6,18,2015,NA,"","F",88,13.8131493343522,18.3716283228886,NA,NA,"Private","P1",525931,NA,0,6,8,1
"136","CCI",6,19,2015,10,"","F",83,11.4283062149386,15.1997628534186,NA,NA,"Private","P1",525931,NA,0,6,8,1
"137","CCI",6,20,2015,NA,"","F",88,13.8131493343522,18.3716283228886,NA,NA,"Private","P1",525931,NA,0,6,8,1
"138","CCI",6,21,2015,NA,"","F",81,10.5599122758681,14.0447901313923,NA,NA,"Private","P1",525931,NA,0,6,8,1
"139","CCI",6,22,2015,NA,"","F",84,11.8804731210747,15.8011494118613,NA,NA,"Private","P1",525931,NA,0,6,8,1
"140","CCI",7,1,2015,NA,"","F",106,25.2440977221506,33.5749052929341,NA,NA,"Private","P1",515938,NA,0,6,13,2
"141","CCI",7,2,2015,NA,"","F",118,35.7327592174688,47.5249311655541,NA,NA,"Private","P1",515938,NA,0,6,13,2
"142","CCI",7,3,2015,NA,"","F",72,7.20984847775072,9.58917139686394,NA,NA,"Private","P1",515938,NA,0,6,13,2
"143","CCI",7,4,2015,NA,"","F",77,8.96187328124,11.9193821057382,NA,NA,"Private","P1",515938,NA,0,6,13,2
"144","CCI",7,5,2015,NA,"","F",83,11.4283062149386,15.1997628534186,NA,NA,"Private","P1",515938,NA,0,6,13,2
"145","CCI",7,6,2015,NA,"","F",80,10.1433265474259,13.4907268991556,NA,NA,"Private","P1",515938,NA,0,6,13,2
"146","CCI",7,7,2015,NA,"","F",80,10.1433265474259,13.4907268991556,NA,NA,"Private","P1",515938,NA,0,6,13,2
"147","CCI",7,8,2015,NA,"","F",88,13.8131493343522,18.3716283228886,NA,NA,"Private","P1",515938,NA,0,6,13,2
"148","CCI",7,9,2015,NA,"","F",78,9.34448480063655,12.4282592963242,NA,NA,"Private","P1",515938,NA,0,6,13,2
"149","CCI",7,10,2015,NA,"","F",102,22.2860656615977,29.6406927344324,NA,NA,"Private","P1",515938,NA,0,6,13,2
"150","CCI",7,11,2015,NA,"","F",97,18.9369166767327,25.1862907107824,NA,NA,"Private","P2",525931,NA,0,6,13,2
"151","CCI",7,12,2015,NA,"","F",78,9.34448480063655,12.4282592963242,NA,NA,"Private","P2",525931,NA,0,6,13,2
"152","CCI",7,13,2015,NA,"","F",82,10.9881791366113,14.614389387734,NA,NA,"Private","P2",525931,NA,0,6,13,2
"153","CCI",7,14,2015,NA,"","F",84,11.8804731210747,15.8011494118613,NA,NA,"Private","P2",525931,NA,0,6,13,2
"154","CCI",7,15,2015,NA,"","F",84,11.8804731210747,15.8011494118613,NA,NA,"Private","P2",525931,NA,0,6,13,2
"155","CCI",7,16,2015,NA,"","F",84,11.8804731210747,15.8011494118613,NA,NA,"Private","P2",525931,NA,0,6,13,2
"156","CCI",7,17,2015,10,"","F",86,12.8216474535934,17.0529207932853,NA,NA,"Private","P2",525931,NA,0,6,13,2
"157","CCI",7,18,2015,NA,"","F",88,13.8131493343522,18.3716283228886,NA,NA,"Private","P2",525931,NA,0,6,13,2
"158","CCI",7,19,2015,NA,"","M",77,8.96187328124,11.9193821057382,NA,NA,"Private","P2",525931,NA,0,6,13,2
