"","MB_MR","SITE","SPECCODE","SURVAREA","SHSITE","YEAR","DATE","SHIFT","BIWEEK","WEEK","HARBOR","SUB_HBR","HEADVAR2","SAMPTYPE","PAGE","LITHCODE","LINENO","LENGTH","AREA","SUBAREA","CLASSN","DE_DT","INTVNUMB","IPHC_AREA","LOGBOOK_AREA","STAT_AREA","DISTRICT","SUB_DIST","Stat_Area_label","NOTES","CLASS"
"87","Marine Boat","CRAIG","200","B",760,2012,2012-06-17,NA,12,9,1,2,11,"D","01","00111556","02",710,5,NA,"Charter","",2,"2C",104400,"10440","104","40","104-40","",2
"88","Marine Boat","CRAIG","200","B",760,2012,2012-06-17,NA,12,9,1,2,11,"D","01","00111556","03",655,5,NA,"Charter","",2,"2C",104400,"10440","104","40","104-40","",2
"89","Marine Boat","CRAIG","200","B",760,2012,2012-06-17,NA,12,9,1,2,11,"D","01","00111556","04",720,5,NA,"Charter","",3,"2C",104400,"10440","104","40","104-40","",2
"90","Marine Boat","CRAIG","200","B",760,2012,2012-06-17,NA,12,9,1,2,11,"D","01","00111556","05",585,5,NA,"Charter","",3,"2C",104400,"10440","104","40","104-40","",2
"91","Marine Boat","CRAIG","200","B",760,2012,2012-06-17,NA,12,9,1,2,11,"D","01","00111556","06",680,5,NA,"Charter","",3,"2C",104400,"10440","104","40","104-40","",2
"92","Marine Boat","CRAIG","200","B",760,2012,2012-06-17,NA,12,9,1,2,11,"D","01","00111556","07",690,5,NA,"Charter","",3,"2C",104400,"10440","104","40","104-40","",2
"93","Marine Boat","CRAIG","200","B",760,2012,2012-06-17,NA,12,9,1,1,11,"D","01","00111556","01",810,6,NA,"Private","",1,"2C",104350,"10435","104","35","104-35","",1
"94","Marine Boat","CRAIG","200","B",760,2012,2012-06-18,NA,13,10,1,5,11,"D","01","00111599","04",550,5,NA,"Private","",2,"2C",104400,"10440","104","40","104-40","",1
"95","Marine Boat","CRAIG","200","B",760,2012,2012-06-18,NA,13,10,1,5,11,"D","01","00111599","05",640,5,NA,"Private","",2,"2C",104400,"10440","104","40","104-40","",1
"96","Marine Boat","CRAIG","200","B",760,2012,2012-06-18,NA,13,10,1,5,11,"D","01","00111599","06",600,5,NA,"Private","",2,"2C",104400,"10440","104","40","104-40","",1
"97","Marine Boat","CRAIG","200","B",760,2012,2012-06-18,NA,13,10,1,5,11,"D","01","00111599","07",660,5,NA,"Private","",2,"2C",104400,"10440","104","40","104-40","",1
"98","Marine Boat","CRAIG","200","B",760,2012,2012-06-18,NA,13,10,1,5,11,"D","01","00111599","08",605,5,NA,"Private","",2,"2C",104400,"10440","104","40","104-40","",1
"99","Marine Boat","CRAIG","200","B",760,2012,2012-06-18,NA,13,10,1,5,11,"D","01","00111599","09",610,5,NA,"Private","",2,"2C",104400,"10440","104","40","104-40","",1
"100","Marine Boat","CRAIG","200","B",760,2012,2012-06-18,NA,13,10,1,5,11,"D","01","00111599","14",830,5,NA,"Charter","",4,"2C",104400,"10440","104","40","104-40","",2
"101","Marine Boat","CRAIG","200","B",760,2012,2012-06-18,NA,13,10,1,5,11,"D","01","00111599","15",775,5,NA,"Charter","",4,"2C",104400,"10440","104","40","104-40","",2
"102","Marine Boat","CRAIG","200","B",760,2012,2012-06-18,NA,13,10,1,5,11,"D","01","00111599","16",825,5,NA,"Charter","",4,"2C",104400,"10440","104","40","104-40","",2
"103","Marine Boat","CRAIG","200","B",760,2012,2012-06-18,NA,13,10,1,5,11,"D","01","00111599","17",690,5,NA,"Charter","",4,"2C",104400,"10440","104","40","104-40","",2
"104","Marine Boat","CRAIG","200","B",760,2012,2012-06-18,NA,13,10,1,5,11,"D","01","00111599","01",850,6,NA,"Charter","",1,"2C",104350,"10435","104","35","104-35","",2
"105","Marine Boat","CRAIG","200","B",760,2012,2012-06-18,NA,13,10,1,5,11,"D","01","00111599","02",710,6,NA,"Charter","",1,"2C",104350,"10435","104","35","104-35","",2
"106","Marine Boat","CRAIG","200","B",760,2012,2012-06-18,NA,13,10,1,5,11,"D","01","00111599","10",800,6,NA,"Charter","",3,"2C",104350,"10435","104","35","104-35","",2
"107","Marine Boat","CRAIG","200","B",760,2012,2012-06-18,NA,13,10,1,5,11,"D","01","00111599","11",790,6,NA,"Charter","",3,"2C",104350,"10435","104","35","104-35","",2
"108","Marine Boat","CRAIG","200","B",760,2012,2012-06-18,NA,13,10,1,5,11,"D","01","00111599","12",775,6,NA,"Charter","",3,"2C",104350,"10435","104","35","104-35","",2
"109","Marine Boat","CRAIG","200","B",760,2012,2012-06-18,NA,13,10,1,5,11,"D","01","00111599","13",660,6,NA,"Charter","",3,"2C",104350,"10435","104","35","104-35","",2
"110","Marine Boat","CRAIG","200","B",760,2012,2012-06-18,NA,13,10,1,5,11,"D","01","00111599","03",1010,7,NA,"Private","",2,"2C",104300,"10430","104","30","104-30","",1
"111","Marine Boat","CRAIG","200","B",760,2012,2012-06-20,NA,13,10,1,3,10,"A","01","00112066","08",840,1,NA,"Private","",6,"2C",103600,"10360","103","60","103-60","",1
"112","Marine Boat","CRAIG","200","B",760,2012,2012-06-20,NA,13,10,1,3,10,"A","01","00112066","09",745,1,NA,"Private","",6,"2C",103600,"10360","103","60","103-60","",1
"113","Marine Boat","CRAIG","200","B",760,2012,2012-06-20,NA,13,10,1,3,10,"A","01","00112066","10",710,1,NA,"Private","",6,"2C",103600,"10360","103","60","103-60","",1
"114","Marine Boat","CRAIG","200","B",760,2012,2012-06-20,NA,13,10,1,2,10,"A","01","00112066","01",620,5,NA,"Charter","",4,"2C",104400,"10440","104","40","104-40","",2
"115","Marine Boat","CRAIG","200","B",760,2012,2012-06-20,NA,13,10,1,2,10,"A","01","00112066","02",680,5,NA,"Charter","",4,"2C",104400,"10440","104","40","104-40","",2
"116","Marine Boat","CRAIG","200","B",760,2012,2012-06-20,NA,13,10,1,2,10,"A","01","00112066","03",920,6,NA,"Charter","",5,"2C",104350,"10435","104","35","104-35","",2
"117","Marine Boat","CRAIG","200","B",760,2012,2012-06-20,NA,13,10,1,2,10,"A","01","00112066","04",760,6,NA,"Charter","",5,"2C",104350,"10435","104","35","104-35","",2
"118","Marine Boat","CRAIG","200","B",760,2012,2012-06-20,NA,13,10,1,2,10,"A","01","00112066","05",760,6,NA,"Charter","",5,"2C",104350,"10435","104","35","104-35","",2
"119","Marine Boat","CRAIG","200","B",760,2012,2012-06-20,NA,13,10,1,2,10,"A","01","00112066","06",760,6,NA,"Charter","",5,"2C",104350,"10435","104","35","104-35","",2
"120","Marine Boat","CRAIG","200","B",760,2012,2012-06-20,NA,13,10,1,2,10,"A","01","00112066","07",1100,6,NA,"Charter","",5,"2C",104350,"10435","104","35","104-35","",2
"121","Marine Boat","CRAIG","200","B",760,2012,2012-06-21,NA,13,10,1,13,12,"D","01","00111807","01",900,5,NA,"Charter","",5,"2C",104400,"10440","104","40","104-40","",2
"122","Marine Boat","CRAIG","200","B",760,2012,2012-06-21,NA,13,10,1,13,12,"D","01","00111807","02",760,5,NA,"Charter","",5,"2C",104400,"10440","104","40","104-40","",2
"123","Marine Boat","CRAIG","200","B",760,2012,2012-06-21,NA,13,10,1,13,12,"D","01","00111807","03",765,5,NA,"Charter","",5,"2C",104400,"10440","104","40","104-40","",2
"124","Marine Boat","CRAIG","200","B",760,2012,2012-06-21,NA,13,10,1,13,12,"D","01","00111807","04",750,5,NA,"Charter","",5,"2C",104400,"10440","104","40","104-40","",2
"125","Marine Boat","CRAIG","200","B",760,2012,2012-06-22,NA,13,10,1,5,9,"C","01","00112294","06",645,2,NA,"Private","",3,"2C",103500,"10350","103","50","103-50","",1
"126","Marine Boat","CRAIG","200","B",760,2012,2012-06-22,NA,13,10,1,1,11,"D","01","00111590","06",970,4,NA,"Private","",4,"2C",103800,"10380","103","80","103-80","",1
"127","Marine Boat","CRAIG","200","B",760,2012,2012-06-22,NA,13,10,1,1,11,"D","01","00111590","07",745,4,NA,"Private","",4,"2C",103800,"10380","103","80","103-80","",1
"128","Marine Boat","CRAIG","200","B",760,2012,2012-06-22,NA,13,10,1,6,9,"C","01","00112294","01",720,5,NA,"Private","",1,"2C",104400,"10440","104","40","104-40","",1
"129","Marine Boat","CRAIG","200","B",760,2012,2012-06-22,NA,13,10,1,6,9,"C","01","00112294","02",610,5,NA,"Private","",1,"2C",104400,"10440","104","40","104-40","",1
"130","Marine Boat","CRAIG","200","B",760,2012,2012-06-22,NA,13,10,1,6,9,"C","01","00112294","03",640,5,NA,"Private","",1,"2C",104400,"10440","104","40","104-40","",1
"131","Marine Boat","CRAIG","200","B",760,2012,2012-06-22,NA,13,10,1,6,9,"C","01","00112294","04",660,5,NA,"Private","",1,"2C",104400,"10440","104","40","104-40","",1
"132","Marine Boat","CRAIG","200","B",760,2012,2012-06-22,NA,13,10,1,5,9,"C","01","00112294","05",1450,5,NA,"Private","",2,"2C",104400,"10440","104","40","104-40","",1
"133","Marine Boat","CRAIG","200","B",760,2012,2012-06-22,NA,13,10,1,6,9,"C","01","00112294","07",1510,6,NA,"Private","",10,"2C",104350,"10435","104","35","104-35","",1
"134","Marine Boat","CRAIG","200","B",760,2012,2012-06-22,NA,13,10,1,6,9,"C","01","00112294","08",660,6,NA,"Private","",10,"2C",104350,"10435","104","35","104-35","",1
"135","Marine Boat","CRAIG","200","B",760,2012,2012-06-22,NA,13,10,1,6,9,"C","01","00112294","09",640,6,NA,"Private","",10,"2C",104350,"10435","104","35","104-35","",1
"136","Marine Boat","CRAIG","200","B",760,2012,2012-06-22,NA,13,10,1,6,9,"C","01","00112294","10",620,6,NA,"Private","",10,"2C",104350,"10435","104","35","104-35","",1
"137","Marine Boat","CRAIG","200","B",760,2012,2012-06-22,NA,13,10,1,6,9,"C","01","00112294","11",610,6,NA,"Private","",10,"2C",104350,"10435","104","35","104-35","",1
"138","Marine Boat","CRAIG","200","B",760,2012,2012-06-22,NA,13,10,1,6,9,"C","01","00112294","12",650,6,NA,"Private","",10,"2C",104350,"10435","104","35","104-35","",1
"139","Marine Boat","CRAIG","200","B",760,2012,2012-06-22,NA,13,10,1,2,11,"D","01","00111590","01",800,6,NA,"Charter","",3,"2C",104350,"10435","104","35","104-35","",2
"140","Marine Boat","CRAIG","200","B",760,2012,2012-06-22,NA,13,10,1,2,11,"D","01","00111590","02",740,6,NA,"Charter","",3,"2C",104350,"10435","104","35","104-35","",2
"141","Marine Boat","CRAIG","200","B",760,2012,2012-06-22,NA,13,10,1,2,11,"D","01","00111590","03",780,6,NA,"Charter","",3,"2C",104350,"10435","104","35","104-35","",2
"142","Marine Boat","CRAIG","200","B",760,2012,2012-06-22,NA,13,10,1,2,11,"D","01","00111590","04",715,6,NA,"Charter","",2,"2C",104350,"10435","104","35","104-35","",2
