"","species","PORT","YEAR","piC","vpiC","piP","vpiP","HiC","SEHiC","HiP","SEHiP","Hi","SEHi","pi","SEpi"
"100","Rougheye","CI",2010,0.00120048019207683,1.44115269156882e-06,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"101","Yelloweye","CI",2010,0.0864345738295318,9.49082190822585e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"102","Black","CI",2011,0.576388888888889,0.000566507511958981,0.333333333333333,0.0014336917562724,NA,NA,NA,NA,NA,NA,NA,NA
"103","China","CI",2011,0.00694444444444444,1.60005084357366e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"104","Copper","CI",2011,0.00925925925925926,2.12842816177009e-05,0.0192307692307692,0.000121683527390723,NA,NA,NA,NA,NA,NA,NA,NA
"105","Dark","CI",2011,0.1875,0.000353465777262181,0.262820512820513,0.00124997348942758,NA,NA,NA,NA,NA,NA,NA,NA
"106","Dusky","CI",2011,0.0324074074074074,7.27544486137766e-05,0.307692307692308,0.00137430807405994,NA,NA,NA,NA,NA,NA,NA,NA
"107","DuskyDrk","CI",2011,0.00925925925925926,2.12842816177009e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"108","Quillback","CI",2011,0.0138888888888889,3.17772335367076e-05,0.0128205128205128,8.16525630421412e-05,NA,NA,NA,NA,NA,NA,NA,NA
"109","Silvergray","CI",2011,0.00231481481481481,5.35836762688615e-06,0.00641025641025641,4.10913872452334e-05,NA,NA,NA,NA,NA,NA,NA,NA
"110","Tiger","CI",2011,0.00462962962962963,1.06918704387983e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"111","Yelloweye","CI",2011,0.157407407407407,0.000307726950117601,0.0576923076923077,0.000350734873067379,NA,NA,NA,NA,NA,NA,NA,NA
"112","Black","CI",2012,0.529166666666667,0.000520144688007423,0.460674157303371,0.00282333497836591,NA,NA,NA,NA,NA,NA,NA,NA
"113","China","CI",2012,0.00416666666666667,8.66243331013686e-06,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"114","Copper","CI",2012,0.01875,3.84100991649269e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"115","Dark","CI",2012,0.29375,0.000433112604384134,0.0786516853932584,0.00082347270202339,NA,NA,NA,NA,NA,NA,NA,NA
"116","Dusky","CI",2012,0.0604166666666667,0.000118510423915565,0.235955056179775,0.0020486394050338,NA,NA,NA,NA,NA,NA,NA,NA
"117","DuskyDrk","CI",2012,0,0,0.0112359550561798,0.000126246686024492,NA,NA,NA,NA,NA,NA,NA,NA
"118","Quillback","CI",2012,0.0145833333333333,3.00013772906518e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"119","Yelloweye","CI",2012,0.0791666666666667,0.000152190617026212,0.202247191011236,0.00183344619021932,NA,NA,NA,NA,NA,NA,NA,NA
"120","Yellowtail","CI",2012,0,0,0.0112359550561798,0.000126246686024492,NA,NA,NA,NA,NA,NA,NA,NA
"121","Black","CI",2013,0.559233449477352,0.000430176960668436,0.62621359223301,0.00114180550797873,NA,NA,NA,NA,NA,NA,NA,NA
"122","China","CI",2013,0.00348432055749129,6.05965107808714e-06,0.00485436893203883,2.35648977283439e-05,NA,NA,NA,NA,NA,NA,NA,NA
"123","Copper","CI",2013,0.00871080139372822,1.50696742282849e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
