"","PORT","BOATNAME","LOGBOOK","HOUR","TRIP1OR2","NUMDAYS","TARGET","ADFGSTAT","INTLOC","CLIENTDAYS","CREWDAYS","BOATHRS","HAKEPT","HAVER","HACAS","HARELCIR","HARELOTH","PELKEPT","PELVER","P_KPT_CAS","PELREL","PRELMETH","PELDEPTH","YEKEPT","YEVER","YECAS","YEREL","YERELMETH","YEDEPTH","NPKEPT","NPVER","NPCAS","NPREL","NPRELMETH","NPDEPTH","LCKEPT","LCVER","LCCAS","LCRELOVR","LCRELUND","CODKEPT","CODVER","CODCAS","CODREL","SABKEPT","SABVER","SABCAS","SABREL","POLKEPT","POLVER","POLCAS","POLREL","SSKKEPT","SSKVER","SSKCAS","SSKREL","SDFKEPT","SDFVER","SDFCAS","SDFREL","PSSKEPT","PSSVER","PSSCAS","PSSREL","PCAS","YEAR","MONTH","DAY","USER","SUBLOC","RESBAY","ANGLDAYS","HAREL","LCREL","TRFKEPT","TRFREL","TRFCAS"
"438","CCI","",NA,12,1,1,"H",515938,NA,5,0,3,10,"N",0,0,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,7,11,"Private","DeepCr","",5,0,0,0,0,0
"439","CCI","NSC 2",122020,13,1,1,"H",525931,NA,6,2,3,16,"N",0,0,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,1,0,"",NA,0,NA,2012,7,11,"Charter","DeepCr","",8,0,0,0,0,0
"440","CCI","",NA,13,1,1,"H",525931,NA,4,0,3,2,"N",0,4,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,7,11,"Private","DeepCr","",4,4,0,0,0,0
"441","CCI","SUE D",123236,13,1,1,"H",515939,NA,3,1,5,8,"N",0,17,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,7,11,"Charter","DeepCr","",4,17,0,0,0,0
"442","CCI","AK FISH HOOK",120179,13,1,1,"H",525931,NA,4,1,3,10,"N",0,11,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,7,11,"Charter","DeepCr","",5,11,0,0,0,0
"443","CCI","EXCITER",122045,13,1,1,"H",525931,NA,6,0,3,12,"N",0,12,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,6,"N",6,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,7,11,"Charter","DeepCr","",6,12,0,0,0,0
"444","CCI","A M",120250,13,1,1,"H",525931,NA,4,2,5,12,"N",0,14,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,5,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,7,11,"Charter","DeepCr","",6,14,0,0,0,0
"445","CCI","SHOOTER",123262,13,1,1,"H",525931,NA,5,2,4,14,"N",0,4,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,3,"N",0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,7,11,"Charter","DeepCr","",7,4,0,0,0,0
"446","CCI","GOOD ETHICS",123243,13,1,1,"H",525931,NA,5,1,5,12,"N",0,5,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,3,"N",0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,7,11,"Charter","DeepCr","",6,5,0,0,0,0
"447","CCI","",NA,13,1,1,"H",525931,NA,4,0,4,8,"N",0,20,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,5,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,7,11,"Private","DeepCr","",4,20,0,0,0,0
"448","CCI","SHANTELLY MARIE",121780,13,1,1,"H",525931,NA,5,1,3,12,"N",0,24,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,8,"N",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,7,11,"Charter","DeepCr","",6,24,0,0,0,0
"449","CCI","FERN HOG",120123,14,1,1,"H",525931,NA,5,1,5,12,"N",0,7,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,1,"N",1,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,7,11,"Charter","DeepCr","",6,7,0,0,0,0
"450","CCI","ARCTIC EXPLORERS",123176,14,1,1,"H",525931,NA,6,0,5,1,"N",0,2,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,1,"N",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,7,11,"Charter","DeepCr","",6,2,0,0,0,0
"451","CCI","",NA,14,1,1,"H",515939,NA,4,0,3,1,"N",0,3,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,7,11,"Private","DeepCr","",4,3,0,0,0,0
"452","CCI","ALASKAN ADVENTURES",123197,14,1,1,"H",525931,NA,5,0,4,10,"N",0,6,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,1,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,7,11,"Charter","DeepCr","",5,6,0,0,0,0
"453","CCI","SHAY LYNN",122188,14,1,1,"H",525931,NA,5,0,6,10,"N",0,6,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,3,"N",1,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,7,11,"Charter","DeepCr","",5,6,0,0,0,0
"454","CCI","THE KRAKEN",122031,14,1,1,"H",525931,NA,4,0,4,5,"N",0,0,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,7,11,"Charter","DeepCr","",4,0,0,0,0,0
"455","CCI","INTIMIDATOR TOO",123225,15,1,1,"H",515938,NA,6,1,6,14,"N",0,16,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,5,"N",1,1,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,2,0,"",NA,0,NA,2012,7,11,"Charter","DeepCr","",7,16,0,0,0,0
