"","YEAR","MONTH","DAY","SUBL","LITHO","LINE","HOUR","NUMDAYS","ADFGSTAT","INTLOC","ANGLDAYS","WHOLEHRS","FRACHRS","LOGBOOK","PROXY","ZEROCATCH","HACAS","HAKEPT","HAREL","RFKEPT","RFREL","PELKEPT","PELREL","NPKEPT","NPREL","LCKEPT","LCREL","PSSKEPT","PSSREL","SDFKEPT","SDFREL","SSKKEPT","SSKREL","CODKEPT","CODREL","PORT","SUBLOC","TRFKEPT","TRFREL","USER","TARGET","BOATHRS","HALCPUE","HALHPUE","HALCPHR","HALHPHR"
"42",2005,6,20,NA,23382,3,19,1,525733,2,6,6,0,NA,NA,NA,0,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",1,0,"Private","H",6,1.33333333333333,0.833333333333333,0.222222222222222,0.138888888888889
"43",2005,6,21,NA,23381,1,16,1,525733,2,4,5,0,50250,NA,NA,8,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,0,"Charter","H",5,2.75,2,0.55,0.4
"44",2005,6,21,NA,23381,2,16,1,525733,2,3,4,0,NA,NA,NA,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,2,"Private","S",4,NA,NA,NA,NA
"45",2005,6,21,NA,23381,3,16,1,525732,2,3,4,0,50239,NA,NA,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,0,"Charter","S",4,NA,NA,NA,NA
"46",2005,6,21,NA,23381,4,16,1,525733,2,4,6,0,50201,NA,NA,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,0,"Charter","H",6,4,2.5,0.666666666666667,0.416666666666667
"47",2005,6,21,NA,23381,5,17,1,525733,1,3,6,0,50246,NA,NA,0,6,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,"Kodiak","",2,0,"Charter","H",6,5.33333333333333,2,0.888888888888889,0.333333333333333
"48",2005,6,21,NA,23381,6,19,1,525702,1,7,8,0,50206,NA,NA,0,14,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,4,"Charter","B+S",8,2,2,0.25,0.25
"49",2005,6,21,NA,23381,7,20,1,525733,2,2,4,0,NA,NA,NA,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,0,"Private","H",4,1,1,0.25,0.25
"50",2005,6,22,NA,23385,1,16,1,525733,2,5,7,0,50201,NA,NA,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,0,"Charter","B+S",7,1.6,1.6,0.228571428571429,0.228571428571429
"51",2005,6,22,NA,23385,2,17,1,525701,1,7,5,0,50246,NA,NA,0,14,14,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",5,0,"Charter","H",5,4,2,0.8,0.4
"52",2005,6,23,NA,23387,1,15,1,525733,2,2,6,0,50243,NA,NA,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,15,"Charter","S",6,NA,NA,NA,NA
"53",2005,6,23,NA,23387,2,16,1,525733,2,1,5,0,NA,NA,NA,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,0,"Private","B+S",5,6,0,1.2,0
"54",2005,6,23,NA,23387,3,17,1,525733,1,6,6,0,50246,NA,NA,0,12,8,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,"Kodiak","",0,2,"Charter","B+S",6,3.33333333333333,2,0.555555555555556,0.333333333333333
"55",2005,6,23,NA,23387,4,18,1,525733,2,7,7,0,50201,NA,NA,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,0,"Charter","H",7,3,2,0.428571428571429,0.285714285714286
"56",2005,6,23,NA,23387,5,18,1,525733,2,4,4,0,50239,NA,NA,4,4,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,15,"Charter","S",4,NA,NA,NA,NA
"57",2005,6,23,NA,23387,6,19,1,525733,3,2,2,0,NA,NA,NA,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,0,"Private","H",2,2.5,2,1.25,1
"58",2005,6,23,NA,23387,7,21,1,525733,2,3,5,0,NA,NA,NA,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,0,"Private","H",5,2,2,0.4,0.4
"59",2005,6,23,NA,23387,8,22,1,525733,2,1,3,0,NA,NA,NA,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",0,4,"Private","H",3,3,0,1,0
"60",2005,6,24,NA,23380,1,16,1,525732,2,4,10,0,50250,NA,NA,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",3,0,"Charter","S",10,NA,NA,NA,NA
"61",2005,6,24,NA,23380,2,16,1,525733,2,2,6,0,NA,NA,NA,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,"Kodiak","",8,8,"Private","S",6,NA,NA,NA,NA
