"","PORT","BOATNAME","LOGBOOK","HOUR","TRIP1OR2","NUMDAYS","TARGET","ADFGSTAT","INTLOC","CLIENTDAYS","CREWDAYS","BOATHRS","HAKEPT","HAVER","HACAS","HARELCIR","HARELOTH","PELKEPT","PELVER","PELREL","PELDEPTH","NPKEPT","NPVER","NPREL","NPDEPTH","LCKEPT","LCVER","LCRELOVR","LCRELUND","CODKEPT","CODREL","SSKKEPT","SSKREL","SDFKEPT","SDFREL","PSSKEPT","PSSREL","YEAR","MONTH","DAY","USER","SUBLOC","RESBAY","ANGLDAYS","HAREL","LCREL","TRFKEPT","TRFREL"
"62","CCI","HER'S",90068,11,1,1,"B",525931,NA,3,0,6,6,"N",0,10,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,3,0,0,0,0,0,0,0,2009,5,29,"Charter","DeepCr","",3,10,0,NA,0
"63","CCI","REDEEMER",93347,11,1,1,"B+S",525931,NA,6,0,3.5,12,"N",0,25,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,3,0,0,0,0,0,0,0,2009,5,29,"Charter","DeepCr","",6,25,0,NA,0
"64","CCI","GOOD ETHICS",93391,12,1,1,"B",525931,NA,5,0,4,10,"N",0,32,0,NA,"",0,0,NA,"",NA,0,NA,"",0,1,1,3,0,0,0,0,0,0,2009,5,29,"Charter","DeepCr","",5,32,1,NA,0
"65","CCI","",NA,12,1,1,"B+S",525931,NA,4,0,4,5,"N",0,3,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,3,0,0,0,0,0,0,2009,5,29,"Private","DeepCr","",4,3,0,NA,0
"66","CCI","KEEPER",93381,12,1,1,"B+S",515939,NA,4,0,6.5,8,"N",0,13,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,2,0,0,0,0,0,0,0,2009,5,29,"Charter","DeepCr","",4,13,0,NA,0
"67","CCI","WINDIGO",91738,13,1,1,"B+S",525931,NA,5,0,3,10,"N",0,5,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,0,0,0,0,0,0,0,2009,5,29,"Charter","DeepCr","",5,5,0,NA,0
"68","CCI","CAPTURE",93395,13,1,1,"B+S",525931,NA,6,0,9,12,"N",0,22,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,2,0,0,0,0,0,0,2009,5,29,"Charter","DeepCr","",6,22,0,NA,0
"69","CCI","VIRGINIA LEE II",93354,13,1,1,"B",525931,NA,4,0,5,8,"N",0,16,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,10,0,0,0,0,0,0,2009,5,29,"Charter","DeepCr","",4,16,0,NA,0
"70","CCI","HOOKSETTER",93398,13,1,1,"B+S",525931,NA,6,0,5,12,"N",12,14,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,6,0,0,0,0,0,0,2009,5,29,"Charter","DeepCr","",6,14,0,NA,0
"71","CCI","AFISHUNT II",91750,13,1,1,"B+S",525931,NA,4,0,7,8,"N",0,7,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,2,0,0,0,0,0,0,0,2009,5,29,"Charter","DeepCr","",4,7,0,NA,0
