"PORT","TARGET","BOATNAME","LOGBOOK","HOUR","NUMDAYS","ADFGSTATHAL","ADFGSTATRF","ADFGSTATLING","ADFGSTATCOMBI","INTLOC","CLIENTDAYS","CREWDAYS","HOURS_H","HOURS_R","HOURS_L","HOURS_COMBI","HAKEPT","GAFHAKEPT","HACAS","HARELCIR","HARELOTH","PELKEPT","PCAS","PELRSURF","PELRDRM","PELDEPTH","YEKEPT","YECAS","YERSURF","YERDRM","YEDEPTH","NPKEPT","NPCAS","NPRSURF","NPRDRM","NPDEPTH","LCKEPT","LCCAS","LCRELOVR","LCRELUND","CODKEPT","CODCAS","CODREL","SABKEPT","SABCAS","SABREL","POLKEPT","POLCAS","POLREL","SSKKEPT","SSKCAS","SSKREL","SDFKEPT","SDFCAS","SDFREL","PSSKEPT","PSSCAS","PSSREL","COMMENTS","YEAR","MONTH","DAY","USER","SUBLOC","RESBAY","BOATHRS","SFmgmtareaHAL","ANGLDAYS","HAREL","LCREL","TRFKEPT","PELREL","YEREL","NPREL","TRFREL","TRFCAS","NONGAFHA"
"Homer","H","",,12,1,515936,,,,3,4,0,4,0,0,0,4,0,4,2,2,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,"10  Irish lords",2022,5,28,"Private",,,4,"CI",4,4,0,0,0,0,0,0,0,4
"Homer","B","",,13,1,515936,515936,,,5,3,0,0,0,0,3,2,0,2,2,0,9,"9",4,0,45,0,0,0,0,,0,"0",0,0,,0,"0",0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,"1 greenling",2022,5,28,"Private",,,3,"CI",3,2,0,9,4,0,0,4,9,2
"Homer","S","",,14,1,515937,,,,2,2,0,0,0,0,3,0,0,0,0,2,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,28,"Private",,,3,"CI",2,2,0,0,0,0,0,0,0,0
"Homer","H","",,14,1,525931,,,,2,3,0,4,0,0,0,6,0,6,13,0,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,4,"4",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,28,"Private",,,4,"CI",3,13,0,0,0,0,0,0,0,6
"Homer","H","",,14,1,515936,,,,2,4,0,4,0,0,0,3,0,0,0,0,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,28,"Private",,,4,"CI",4,0,0,0,0,0,0,0,0,3
"Homer","S","",,14,1,515936,,,,2,3,0,0,0,0,4,2,0,2,0,0,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,"1 greenling",2022,5,28,"Private",,,4,"CI",3,0,0,0,0,0,0,0,0,2
"Homer","B+S","",,14,1,525931,515935,,,2,6,0,4,0,0,0,9,0,9,21,0,2,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,5,"5",4,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,28,"Private",,,4,"CI",6,21,0,2,0,0,0,0,0,9
"Homer","H","",,15,1,515932,,,,4,3,0,8,0,0,0,0,0,0,0,0,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,1,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,"4 bullheads",2022,5,28,"Private",,,8,"CI",3,0,0,0,0,0,0,0,0,0
"Homer","B+S","",,15,1,515907,515907,,,4,2,0,5,0,0,0,0,0,0,0,0,0,"0",2,0,120,0,0,0,0,,0,"0",0,0,,0,"0",0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,"dark brown rockfish (entered in nonpelagic), air bladder not pushing out mouth",2022,5,28,"Private",,,5,"CI",2,0,0,0,2,0,0,2,0,0
"Homer","H","",,15,1,515932,,,,4,2,0,2,0,0,0,0,0,0,0,0,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,28,"Private",,,2,"CI",2,0,0,0,0,0,0,0,0,0
"Homer","H","",,15,1,525902,,,,4,3,0,4,0,0,0,6,0,0,1,0,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,4,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,28,"Private",,,4,"CI",3,1,0,0,0,0,0,0,0,6
"Homer","B+S","",,15,1,515935,,,,4,3,0,4,0,0,0,0,0,0,0,0,0,"0",0,0,,0,0,0,0,,0,"0",0,0,,0,"0",0,0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,0,"0",0,,2022,5,28,"Private",,,4,"CI",3,0,0,0,0,0,0,0,0,0
