PORT,BOATNAME,LOGBOOK,HOUR,TRIP1OR2,NUMDAYS,TARGET,ADFGSTAT,INTLOC,CLIENTDAYS,CREWDAYS,BOATHRS,HAKEPT,HAVER,HACAS,HARELCIR,HARELOTH,PELKEPT,PELVER,P_KPT_CAS,PELREL,HOWPREL,PELDEPTH,YEKEPT,YEVER,YECAS,YEREL,HOWYEREL,YEDEPTH,NPKEPT,NPVER,NPCAS,NPREL,HOWNPREL,NPDEPTH,LCKEPT,LCVER,LCCAS,LCRELOVR,LCRELUND,CODKEPT,CODVER,CODCAS,CODREL,SABKEPT,SABVER,SABCAS,SABREL,POLKEPT,POLVER,POLCAS,POLREL,SSKKEPT,SSKVER,SSKCAS,SSKREL,SDFKEPT,SDFVER,SDFCAS,SDFREL,PSSKEPT,PSSVER,PSSCAS,PSSREL,PCAS,YEAR,MONTH,DAY,USER,SUBLOC,RESBAY,ANGLDAYS,HAREL,LCREL,TRFKEPT,TRFREL,TRFCAS
CCI,UNFORGIVEN,113590,12,1,1,H,525931,NA,4,2,7,12,N,0,19,0,NA,,NA,0,,0,0,,0,0,,0,NA,,NA,NA,,0,NA,,NA,0,0,10,,10,0,NA,,NA,0,NA,,NA,0,0,,NA,0,0,,NA,0,0,,NA,0,NA,2011,6,3,Charter,DeepCr,,6,19,0,0,0,0
CCI,INTIMIDATOR,113631,13,1,1,B+S,525931,NA,4,1,3,9,N,0,4,0,NA,,NA,0,,0,0,,0,0,,0,NA,,NA,NA,,0,NA,,NA,0,0,8,N,0,4,NA,,NA,0,NA,,NA,0,0,,NA,0,0,,NA,0,0,,NA,0,NA,2011,6,3,Charter,DeepCr,,5,4,0,0,0,0
CCI,VOYAGEUR,112348,13,1,1,H,525931,NA,8,0,3,16,N,0,21,0,NA,,NA,0,,0,0,,0,0,,0,NA,,NA,NA,,0,NA,,NA,0,0,0,,NA,0,NA,,NA,0,NA,,NA,0,0,,NA,0,0,,NA,0,0,,NA,0,NA,2011,6,3,Charter,DeepCr,,8,21,0,0,0,0
CCI,RIGHT ONE,113611,14,1,1,H,525931,NA,6,0,4,12,N,0,10,0,NA,,NA,0,,0,0,,0,0,,0,NA,,NA,NA,,0,NA,,NA,0,0,3,N,0,0,NA,,NA,0,NA,,NA,0,0,,NA,0,0,,NA,0,0,,NA,0,NA,2011,6,3,Charter,DeepCr,,6,10,0,0,0,0
CCI,DISCOVER,113594,14,2,1,H,515938,NA,4,0,2,8,N,0,18,0,NA,,NA,0,,0,0,,0,0,,0,NA,,NA,NA,,0,NA,,NA,0,0,2,,2,4,NA,,NA,0,NA,,NA,0,0,,NA,0,0,,NA,0,0,,NA,0,NA,2011,6,3,Charter,DeepCr,,4,18,0,0,0,0
CCI,HERS TOO,110250,14,1,1,H,525931,NA,6,2,4,16,N,0,22,0,NA,,NA,0,,0,0,,0,0,,0,NA,,NA,NA,,0,NA,,NA,0,0,1,N,0,2,NA,,NA,0,NA,,NA,0,0,,NA,0,0,,NA,0,0,,NA,0,NA,2011,6,3,Charter,DeepCr,,8,22,0,0,0,0
CCI,HOOKSETTER,113626,14,1,1,H,525931,NA,5,2,4,14,N,0,12,0,NA,,NA,0,,0,0,,0,0,,0,NA,,NA,NA,,0,NA,,NA,0,0,0,,NA,2,NA,,NA,0,NA,,NA,0,0,,NA,0,0,,NA,0,0,,NA,0,NA,2011,6,3,Charter,DeepCr,,7,12,0,0,0,0
CCI,,NA,12,1,1,B+S,525931,NA,3,0,1.5,5,N,0,5,0,NA,,NA,0,,0,0,,0,0,,0,NA,,NA,NA,,0,NA,,NA,0,0,0,,NA,1,NA,,NA,0,NA,,NA,0,0,,NA,0,0,,NA,0,0,,NA,0,NA,2011,6,5,Private,AnchorPt,,3,5,0,0,0,0
CCI,ULTIMATE,110226,12,1,1,H,525931,NA,6,0,5,12,N,12,36,0,NA,,NA,0,,0,0,,0,0,,0,NA,,NA,NA,,0,NA,,NA,0,0,1,,1,2,NA,,NA,0,NA,,NA,0,0,,NA,0,0,,NA,0,0,,NA,0,NA,2011,6,5,Charter,AnchorPt,,6,36,0,0,0,0
CCI,,NA,12,1,1,B+S,515937,NA,2,0,5,3,N,0,2,0,NA,,NA,0,,0,0,,0,0,,0,NA,,NA,NA,,0,NA,,NA,0,0,0,,NA,0,NA,,NA,0,NA,,NA,0,0,,NA,0,0,,NA,0,0,,NA,0,NA,2011,6,5,Private,AnchorPt,,2,2,0,0,0,0
