"","PORT","BOATNAME","LOGBOOK","HOUR","TRIP1OR2","NUMDAYS","TARGET","ADFGSTAT","INTLOC","CLIENTDAYS","CREWDAYS","BOATHRS","HAKEPT","HAVER","HACAS","HARELCIR","HARELOTH","PELKEPT","PELVER","PCAS","PELRSURF","PELRDRM","PELRVENT","PELDEPTH","YEKEPT","YEVER","YECAS","YERSURF","YERDRM","YERVENT","YEDEPTH","NPKEPT","NPVER","NPCAS","NPRSURF","NPRDRM","NPRVENT","NPDEPTH","LCKEPT","LCVER","LCCAS","LCRELOVR","LCRELUND","CODKEPT","CODVER","CODCAS","CODREL","SABKEPT","SABVER","SABCAS","SABREL","POLKEPT","POLVER","POLCAS","POLREL","SSKKEPT","SSKVER","SSKCAS","SSKREL","SDFKEPT","SDFVER","SDFCAS","SDFREL","PSSKEPT","PSSVER","PSSCAS","PSSREL","YEAR","MONTH","DAY","USER","SUBLOC","RESBAY","ANGLDAYS","HAREL","LCREL","TRFKEPT","PELREL","YEREL","NPREL","TRFREL","TRFCAS"
"1160","Kodiak","",NA,17,1,1,"B",515730,2,5,0,4,10,"N",0,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,69,"N",NA,0,0,"",NA,0,1,"N",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,6,9,"Private","","",5,0,0,0,0,0,0,0,0
"1161","Kodiak","",NA,18,1,1,"H",525732,1,5,0,8,2,"Y",0,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,0,"",NA,1,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,6,9,"Private","","",5,0,0,0,0,0,0,0,0
"1162","Kodiak","",NA,18,1,1,"H",525733,1,2,0,2,13,"Y",0,30,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,20,"N",NA,5,0,"",NA,0,0,"",NA,2,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,6,9,"Private","","",2,30,0,0,0,0,0,0,0
"1163","Kodiak","",NA,21,1,1,"H",525733,2,4,0,6,8,"N",0,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,6,"N",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,6,9,"Private","","",4,0,0,0,0,0,0,0,0
"1164","Kodiak","",NA,17,1,1,"B",525733,1,4,0,5,8,"N",0,0,5,0,"",NA,1,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,10,"N",NA,3,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,6,10,"Private","","",4,5,0,0,1,0,0,1,0
"1165","Kodiak","",NA,18,1,1,"H",525733,1,4,0,6,6,"Y",0,1,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,62,"N",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,6,10,"Private","","",4,1,0,0,0,0,0,0,0
"1166","Kodiak","",NA,19,1,1,"S",525733,2,2,0,6,0,"N",0,0,0,0,"",NA,6,0,0,50,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,6,10,"Private","","",2,0,0,0,6,0,0,6,0
"1167","Kodiak","",NA,19,1,1,"H",525733,2,1,0,2,0,"N",0,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,6,10,"Private","","",1,0,0,0,0,0,0,0,0
"1168","Kodiak","",NA,19,1,1,"B",525733,2,3,0,1,0,"N",0,0,0,8,"N",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,6,10,"Private","","",3,0,0,8,0,0,0,0,0
"1169","Kodiak","",NA,20,1,1,"B",525733,1,3,0,9,5,"N",0,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,7,"Y",NA,4,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,6,10,"Private","","",3,0,0,0,0,0,0,0,0
